ítem,Norte,Este,Muestra,De,Hasta,potencia,Vs(m/s),Nspt,(N1)60,SUCS,LL%,LP,IP%,W%,ø°,C(Kg/cm2),densidadhúmeda(gr/cm3),densidadseca(gr/cm3),Qadm.(kg/cm2),Qult.(kg/cm2),TipodeSuelo,SST(ppm),SO4(ppm),CL(ppm),pH(ppm),Colapso,Gravas,Arenas,Finos,colegio,Vs (m/s),LL %,IP %,ø °,C (Kg/cm2),Densidad húmeda (gr/cm3),Densidad seca (gr/cm3),Qadm. (kg/cm2),Qult. (kg/cm2),Tipo de Suelo,SST (ppm),SO4 (ppm),CL (ppm),pH (ppm),?húmeda(gr/cm3),?seca(gr/cm3),? húmeda (gr/cm3),? seca (gr/cm3),profundidad_media
C-5,9457248.24,535044.12,M-1,0.0,1.6,1.6,,,,SC,43.2,20.1,23.1,14.9,,,1.937,1.625,,,S1,,,,,,1.4,58.5,40.1,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.8
C-5,9457248.24,535044.12,M-2,1.6,2.0,0.4,,,,SM,33.8,25.0,8.8,18.0,,,,,,,S1,,,,,,2.8,59.0,38.2,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.8
C-5,9457248.24,535044.12,M-3,2.0,2.5,0.5,,,,SP-SM,,,,4.7,,,,,,,S1,,,,,,0.8,93.4,5.8,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.25
C-5,9457248.24,535044.12,M-4,2.5,3.0,0.5,,,,SP-SM,,,,10.6,,,,,,,S1,,,,,,28.8,61.2,10.0,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.75
C-5,9457248.24,535044.12,M-5,3.0,5.0,2.0,,,,GC,33.4,18.8,14.6,5.6,,,,,,,S1,,,,,,61.2,25.1,13.7,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.0
C-6,9457257.46,535025.64,M-1,0.0,1.3,1.3,,,,SM,,,,5.8,,,,,,,S1,,,,,,3.9,78.3,17.8,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.65
C-6,9457257.46,535025.64,M-2,1.3,2.7,1.4,,,,SC,32.8,17.9,14.9,15.0,,,,,,,S1,,,,,,0.0,60.6,39.4,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,2.0
C-6,9457257.46,535025.64,M-3,2.7,4.0,1.3,,,,GP-GM,,,,5.8,,,,,,,S1,,,,,,70.4,23.9,5.7,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.35
C-6,9457257.46,535025.64,M-4,4.0,4.4,0.4,,,,GP-GM,,,,7.9,,,,,,,S1,15768.0,7312.0,2860.0,,,58.7,35.4,5.9,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.2
MW-1,9457249.505,535009.138,M-1,0.0,1.071,1.071,478.109986,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.5355
MW-1,9457249.505,535009.138,M-2,1.071,2.307,1.236,444.718003,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.689
MW-1,9457249.505,535009.138,M-3,2.307,3.708,1.401,410.288006,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.0075000000000003
MW-1,9457249.505,535009.138,M-4,3.708,5.274,1.566,552.233994,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.491
MW-1,9457249.505,535009.138,M-5,5.274,7.005,1.731,734.323978,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,6.1395
MW-1,9457249.505,535009.138,M-6,7.005,8.901,1.896,853.105009,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,7.952999999999999
MW-1,9457249.505,535009.138,M-7,8.901,10.961,2.06,893.929005,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,9.931000000000001
MW-1,9457249.505,535009.138,M-8,10.961,13.186,2.225,893.899024,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,12.0735
MW-1,9457249.505,535009.138,M-9,13.186,15.576,2.39,881.155014,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,14.381
MW-1,9457249.505,535009.138,M-10,15.576,18.131001,2.555001,875.69201,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,16.853500500000003
MW-1,9457249.505,535009.138,M-11,18.131001,20.851001,2.72,869.16101,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,19.491001
MW-1,9457249.505,535009.138,M-12,20.851001,23.736002,2.885001,882.889986,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,22.293501499999998
MW-1,9457249.505,535009.138,M-13,23.736002,26.785001,3.048999,885.469973,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,25.2605015
MW-1,9457249.505,535009.138,M-14,26.785001,36.428001,9.643,917.568028,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,31.606501
MW-2,9457274.973,535004.1299,M-1,0.0,1.071429,1.071429,588.752927,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,0.5357145
MW-2,9457274.973,535004.1299,M-2,1.071429,2.307693,1.236264,571.663917,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,1.6895609999999999
MW-2,9457274.973,535004.1299,M-3,2.307693,3.708791,1.401098,544.362661,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,3.008242
MW-2,9457274.973,535004.1299,M-4,3.708791,5.274726,1.565935,608.092371,,,,,,,,,,,,,,,,,,,,,,,1. LOCAL ESCOLAR 435390-MARIA IGNACIA,,,,,,,,,,,,,,,,,,,4.4917585
